,docs/libro1_clean.txt,docs/libro2_clean.txt,docs/libro3_clean.txt,docs/libro4_clean.txt,docs/libro5_clean.txt,docs/libro6_clean.txt
comunicado,0,0,1,0,0,0
comunidad,0,1,0,0,0,0
concilio,0,1,0,0,0,0
condiciones,0,0,0,0,1,0
conducidas,0,0,0,0,0,1
condujeron,0,1,0,0,0,0
confluyen,0,0,1,0,0,0
congéneres,0,0,1,0,0,0
conocido,0,0,0,0,1,0
conoció,0,0,0,0,0,1
consejo,0,1,0,1,1,0
consiguiendo,0,0,0,1,0,0
consiguieron,0,1,0,0,0,0
consumiendo,0,0,0,0,0,1
continuar,0,0,0,1,0,0
continuara,0,0,0,0,0,1
continúa,0,0,0,0,0,1
continúen,0,0,0,1,0,0
contraatacar,0,0,0,0,0,1
contradicciones,0,0,0,1,0,0
contárselo,0,1,0,0,0,0
contó,0,1,0,0,0,0
convencer,0,1,0,0,0,0
convenciéndole,1,0,0,0,0,0
convertido,0,0,1,0,0,0
convincentes,0,0,0,1,0,0
convirtió,0,0,0,0,0,1
convoca,0,0,1,0,0,0
convocan,0,0,0,0,1,0
coronación,0,0,0,0,0,1
corriente,1,0,0,0,0,0
corsarios,0,0,0,0,1,0
cosa,0,0,1,0,0,0
cota,0,0,0,0,0,1
creó,0,1,0,0,0,0
criatura,1,0,0,1,0,1
crinblanca,0,0,0,0,1,0
cruzando,0,1,0,0,0,0
cruzarlas,0,1,0,0,0,0
cuantos,0,1,0,0,0,0
cubrió,0,0,0,0,1,0
cuentan,0,0,1,0,0,0
cuerpo,0,0,0,1,1,1
cuesta,0,0,0,0,0,1
culmina,0,0,1,0,0,0
cumpleaños,1,0,0,0,0,0
cumplir,0,0,0,0,1,0
curación,0,1,0,0,0,0
curioso,0,0,1,0,0,0
curso,0,1,0,0,0,0
custodia,0,0,1,1,0,0
custodiándola,0,0,0,1,0,0
cámara,0,1,0,0,0,0
círculo,0,0,0,0,1,0
círdan,0,0,0,0,0,1
darle,0,0,1,0,0,0
darse,0,0,0,0,0,1
debatirse,0,0,0,1,0,0
debía,0,1,0,0,0,0
debían,0,0,0,0,1,0
decide,0,0,0,1,1,0
deciden,1,0,1,1,1,0
decidieron,0,1,0,0,0,0
decidir,0,1,0,0,0,0
decidiría,0,1,0,0,0,0
decidirían,1,0,0,0,0,0
decisión,1,0,0,0,0,0
dedo,0,0,0,0,0,1
defender,0,0,1,0,0,0
defenderse,1,0,0,0,0,0
defensa,0,1,1,0,0,0
definir,0,0,1,0,0,0
defraudada,0,0,0,1,0,0
deja,0,0,0,1,0,1
dejado,0,0,0,0,0,1
dejando,0,0,1,0,0,0
dejar,1,0,0,0,0,0
dejarle,0,0,1,0,0,0
delagua,0,0,0,0,0,1
demandaba,0,0,0,0,1,0
denethor,0,0,0,0,1,0
dernhelm,0,0,0,0,1,0
derribada,0,0,0,0,1,0
derrotado,0,0,0,0,0,1
derrotan,0,0,1,0,0,1
derrotando,0,0,0,0,0,1
derrotar,0,1,1,0,0,0
derrotaron,0,0,1,0,0,0
desafortunada,0,0,1,0,0,0
desaparece,0,0,0,1,0,0
desaparecer,0,0,0,1,0,0
desapareció,1,0,0,0,0,0
desastre,1,0,0,0,0,0
desatando,0,0,0,1,0,0
desayuno,0,0,1,0,0,0
descansando,0,1,0,0,0,0
descarga,0,0,0,0,1,0
descender,0,0,0,1,0,0
desconcierto,0,0,0,0,0,1
descubierto,1,0,0,0,0,0
descubiertos,0,0,0,1,0,0
descubre,0,0,1,0,0,0
descubren,0,0,0,1,0,0
descubrir,0,0,0,1,0,0
descuido,0,0,0,1,0,0
deseando,0,1,0,0,0,0
deseo,1,0,0,0,0,0
desfiladero,0,0,0,1,0,0
deshecho,0,0,0,0,0,1
despedida,0,0,0,0,0,1
despertó,0,1,0,0,0,1
despiertan,0,0,0,0,0,1
destino,1,0,0,0,0,1
destruido,0,1,0,0,0,0
destruyera,0,1,0,0,0,0
destruyeron,0,0,1,0,0,0
destruyéndose,0,0,0,0,0,1
desviar,0,0,0,0,1,0
detener,0,0,0,0,1,0
deuda,0,0,0,0,1,0
dirigen,0,0,1,0,1,0
dirigieron,0,0,0,0,0,1
dirigía,0,0,0,0,1,0
dirigían,0,0,0,0,0,1
discurso,1,0,0,0,0,0
discusión,1,0,0,0,0,0
disfrazados,0,0,0,0,0,1
disfrutan,0,0,1,0,0,0
disponía,0,0,0,0,1,0
disponían,0,0,0,0,1,0
dispusieron,0,0,0,0,1,0
dispuso,0,0,0,0,1,0
distintos,0,1,0,0,0,1
divide,0,0,1,0,0,0
diálogo,0,0,1,0,0,0
dol,0,0,1,0,0,0
dolorosa,0,0,0,0,0,1
dormían,0,0,1,0,0,0
drúadan,0,0,0,0,1,0
drúedain,0,0,0,0,1,0
dudas,1,0,0,0,0,0
dunlendinos,0,0,0,0,0,1
dándoles,1,0,0,0,0,0
