,docs/libro1_clean.txt,docs/libro2_clean.txt,docs/libro3_clean.txt,docs/libro4_clean.txt,docs/libro5_clean.txt,docs/libro6_clean.txt
reveló,0,1,0,0,0,0
rey,1,0,1,1,1,1
reúne,0,0,0,0,1,0
rivendel,1,1,0,0,0,1
rohan,0,1,1,0,1,1
rohirrim,0,0,1,0,1,0
roja,0,0,0,0,1,0
rojo,0,0,0,0,0,1
rompieron,0,0,0,0,1,0
ropajes,0,0,0,0,1,1
ropas,0,0,1,0,0,0
rumbo,0,0,0,0,0,1
río,1,1,0,0,1,0
sabios,1,0,0,0,0,0
sabía,1,0,0,0,0,0
sagrario,0,0,0,0,1,0
sale,0,0,0,0,1,0
salida,0,0,0,1,0,0
saliendo,0,0,0,0,1,0
salieron,0,1,0,0,0,0
salir,1,0,0,1,0,0
salva,1,0,0,0,0,0
salvados,1,0,0,0,0,0
salvarse,1,0,0,0,0,0
salvo,0,0,1,0,0,0
sam,0,1,1,1,0,1
sammath,0,0,0,0,0,1
samsagaz,1,0,0,0,0,0
saneamiento,0,0,0,0,0,1
sarn,0,1,0,0,0,0
saruman,0,1,1,0,0,1
sauron,1,1,1,1,1,1
seguir,0,0,1,0,0,0
seguía,0,1,0,0,0,0
seguían,0,0,0,0,0,1
sendero,0,0,0,0,1,1
senescal,0,0,0,0,1,1
senescales,0,0,0,0,1,0
senescalía,0,1,0,0,0,0
sentados,0,0,1,0,0,0
separación,0,0,1,1,0,0
serpiente,0,0,0,0,0,1
servicios,0,0,0,0,1,0
servidores,1,0,0,0,0,0
sexto,0,0,0,0,1,0
señal,0,0,0,0,1,0
señales,0,0,1,0,0,0
señor,1,1,1,0,0,0
señores,0,1,0,0,0,0
sienta,0,0,0,1,0,0
siguiendo,0,1,0,0,0,0
siguiera,0,1,0,0,0,0
siguiéndolos,0,0,0,1,0,0
siguió,0,1,0,0,0,0
sirviente,0,0,1,0,0,0
sirvientes,0,0,1,0,0,0
sitiar,0,0,0,0,1,0
sitio,0,0,0,0,1,0
sobrina,0,0,0,0,1,0
sobrino,1,0,0,0,0,0
sol,0,0,0,0,1,0
sombra,0,0,0,0,1,0
sombragrís,0,0,0,0,1,0
sorprendidos,1,0,0,0,1,0
sorpresa,0,0,1,0,0,0
sucesos,0,0,0,0,1,0
sufriendo,0,0,1,0,0,0
suman,0,0,0,0,1,0
supondría,0,0,0,0,1,0
suponía,0,0,0,1,0,0
sur,0,0,0,0,1,0
síntomas,0,0,0,0,1,0
sûl,1,0,0,0,0,0
tamaño,0,0,0,0,1,0
tambores,0,1,0,0,0,0
tarde,0,1,1,0,0,1
tema,0,1,0,0,0,0
tendón,0,0,0,0,1,0
termina,0,0,0,0,1,1
terminan,0,0,0,0,1,0
terminar,1,0,0,0,0,0
terreno,0,0,0,1,0,0
territorio,0,0,1,0,0,0
tesoro,0,0,0,0,0,1
théoden,0,0,1,0,1,1
tiende,1,0,0,0,0,0
tierra,0,1,0,0,0,0
tierras,0,0,0,0,0,1
tirith,0,1,1,1,1,1
tom,1,0,0,0,0,1
toma,0,0,1,0,1,0
tomada,0,0,0,0,0,1
tomado,0,0,0,0,1,0
tomar,0,0,0,1,1,0
tomaron,0,0,0,0,1,1
tomó,0,0,0,0,1,0
toque,1,0,0,0,0,0
torech,0,0,0,1,0,0
torre,0,0,1,1,0,0
tortura,0,0,1,0,0,0
traba,0,0,0,0,1,0
trae,0,0,0,0,1,0
traicionada,0,0,0,1,0,0
traición,0,1,0,1,0,0
trampa,1,0,0,0,0,0
tranquilidad,1,0,0,0,0,0
transmiten,0,0,0,0,1,0
trataba,1,0,1,0,0,0
tratar,0,0,0,0,1,0
tratarían,0,1,0,0,0,0
trató,0,1,0,0,0,0
traza,1,0,0,0,0,0
treintena,0,0,1,0,0,0
trepar,0,0,0,0,0,1
tropa,0,0,0,0,0,1
tropas,0,0,0,1,1,0
tumba,0,1,0,0,0,0
tumularias,1,0,0,0,0,0
tumularios,1,0,0,0,0,0
túmulos,1,0,0,0,0,0
ucorno,1,0,0,0,0,0
ucornos,0,0,1,0,0,0
umbar,0,0,0,0,1,0
ungol,0,0,0,1,0,1
unión,0,0,0,0,0,1
uruk-hai,0,0,1,0,0,0
usado,0,1,0,1,0,0
vado,1,0,0,0,0,0
vados,0,0,0,0,1,0
vagando,0,0,0,1,0,0
valle,0,0,0,1,0,0
ve,0,0,0,1,0,0
veinte,1,0,0,0,0,0
veloz,0,0,0,0,1,0
ven,0,0,0,0,1,0
vencer,0,0,1,0,0,0
veneno,0,0,0,1,0,0
viajan,0,0,0,0,0,1
viaje,1,1,0,1,1,1
viajeros,0,0,0,1,0,0
victoria,0,0,0,0,1,0
viejo,1,0,0,0,0,1
vigilado,0,0,0,1,0,0
vio,0,1,0,0,1,0
visiones,0,0,1,0,0,0
visita,0,0,0,0,1,0
visitar,0,0,0,0,0,1
vividas,0,0,1,0,0,0
vivir,1,0,0,0,0,0
voltea,0,0,0,0,1,0
voluntad,0,0,0,0,0,1
vuelta,0,1,0,0,1,0
vuelva,0,0,0,1,0,0
vuelve,0,0,0,1,1,0
yelmo,0,0,0,0,1,0
yendo,0,0,0,1,0,0
águilas,0,0,0,0,0,1
élficas,0,1,0,0,0,0
éomer,0,0,1,0,1,1
éored,0,0,1,0,0,0
éowyn,0,0,0,0,1,1
órdenes,0,0,0,0,0,1
único,1,0,0,1,0,0
